BudgetID,Year,Month,CategoryID,BudgetAmount
1,2024,1,1,1500
2,2024,1,2,600
3,2024,1,3,200
4,2024,1,4,300
5,2024,1,5,250
6,2024,1,6,150
7,2024,1,7,200
8,2024,1,8,300
9,2024,1,9,100
10,2024,2,1,1500
11,2024,2,2,600
12,2024,2,3,200
13,2024,2,4,300
14,2024,2,5,250
15,2024,2,6,150
16,2024,2,7,200
17,2024,2,8,300
18,2024,2,9,100
19,2024,3,1,1500
20,2024,3,2,600
21,2024,3,3,200
22,2024,3,4,300
23,2024,3,5,250
24,2024,3,6,150
25,2024,3,7,200
26,2024,3,8,300
27,2024,3,9,100
28,2024,4,1,1500
29,2024,4,2,600
30,2024,4,3,200
31,2024,4,4,300
32,2024,4,5,250
33,2024,4,6,150
34,2024,4,7,200
35,2024,4,8,300
36,2024,4,9,100
37,2024,5,1,1500
38,2024,5,2,600
39,2024,5,3,200
40,2024,5,4,300
41,2024,5,5,250
42,2024,5,6,150
43,2024,5,7,200
44,2024,5,8,300
45,2024,5,9,100
46,2024,6,1,1500
47,2024,6,2,600
48,2024,6,3,200
49,2024,6,4,300
50,2024,6,5,250
51,2024,6,6,150
52,2024,6,7,200
53,2024,6,8,300
54,2024,6,9,100
55,2024,7,1,1500
56,2024,7,2,600
57,2024,7,3,200
58,2024,7,4,300
59,2024,7,5,250
60,2024,7,6,150
61,2024,7,7,200
62,2024,7,8,300
63,2024,7,9,100
64,2024,8,1,1500
65,2024,8,2,600
66,2024,8,3,200
67,2024,8,4,300
68,2024,8,5,250
69,2024,8,6,150
70,2024,8,7,200
71,2024,8,8,300
72,2024,8,9,100
73,2024,9,1,1500
74,2024,9,2,600
75,2024,9,3,200
76,2024,9,4,300
77,2024,9,5,250
78,2024,9,6,150
79,2024,9,7,200
80,2024,9,8,300
81,2024,9,9,100
82,2024,10,1,1500
83,2024,10,2,600
84,2024,10,3,200
85,2024,10,4,300
86,2024,10,5,250
87,2024,10,6,150
88,2024,10,7,200
89,2024,10,8,300
90,2024,10,9,100
91,2024,11,1,1500
92,2024,11,2,600
93,2024,11,3,200
94,2024,11,4,300
95,2024,11,5,250
96,2024,11,6,150
97,2024,11,7,200
98,2024,11,8,300
99,2024,11,9,100
100,2024,12,1,1500
101,2024,12,2,600
102,2024,12,3,200
103,2024,12,4,300
104,2024,12,5,250
105,2024,12,6,150
106,2024,12,7,200
107,2024,12,8,300
108,2024,12,9,100
