TransactionID,Date,Description,CategoryID,CategoryName,Type,Amount,PaymentMethod,Notes
1,2024-01-01,Electricity bill,3,Utilities,Expense,85.73,Direct Debit,
2,2024-01-01,Rent payment,1,Housing,Expense,1397.73,Bank Transfer,
3,2024-01-01,Transfer to savings,10,Savings,Transfer,476.59,Bank Transfer,
4,2024-01-01,Monthly salary,11,Salary,Income,5002.68,Bank Transfer,
66,2024-01-05,Stock sale profit,13,Investment,Income,312.95,Cash,
341,2024-01-05,Dividend income,13,Investment,Income,148.96,Debit Card,Planned
52,2024-01-08,Dividend income,13,Investment,Income,156.4,Credit Card,
216,2024-01-09,Clothing,8,Shopping,Expense,117.18,Credit Card,Planned
288,2024-01-09,Dividend income,13,Investment,Income,153.28,Debit Card,Recurring
155,2024-01-14,Doctor visit,7,Healthcare,Expense,77.83,Cash,Planned
109,2024-01-15,Consulting fee,12,Freelance,Income,590.17,Bank Transfer,Planned
328,2024-01-15,Supermarket,2,Groceries,Expense,76.36,Debit Card,Planned
307,2024-01-18,Freelance project,12,Freelance,Income,765.38,Debit Card,
283,2024-01-20,Fast food,5,Dining Out,Expense,12.5,Bank Transfer,Planned
60,2024-01-21,Cash gift,14,Other Income,Income,99.19,Debit Card,
245,2024-01-22,Books,9,Education,Expense,23.8,Cash,
174,2024-01-23,Books,9,Education,Expense,25.61,Bank Transfer,Recurring
273,2024-01-23,Consulting fee,12,Freelance,Income,591.86,Credit Card,Recurring
291,2024-01-23,Consulting fee,12,Freelance,Income,628.86,Debit Card,Planned
241,2024-01-24,Doctor visit,7,Healthcare,Expense,79.16,Cash,
347,2024-01-24,Supermarket,2,Groceries,Expense,77.1,Debit Card,Recurring
164,2024-01-27,Freelance project,12,Freelance,Income,781.36,Credit Card,
139,2024-01-28,Farmers market,2,Groceries,Expense,39.17,Credit Card,Planned
323,2024-01-29,Dividend income,13,Investment,Income,150.27,Debit Card,
57,2024-01-30,Clothing,8,Shopping,Expense,121.01,Credit Card,
5,2024-02-01,Gas bill,3,Utilities,Expense,63.18,Credit Card,
6,2024-02-01,Rent payment,1,Housing,Expense,1487.53,Bank Transfer,
7,2024-02-01,Transfer to savings,10,Savings,Transfer,488.89,Bank Transfer,
8,2024-02-01,Monthly salary,11,Salary,Income,4796.37,Bank Transfer,
49,2024-02-01,Parking fee,4,Transport,Expense,15.34,Cash,
260,2024-02-01,Pizza,5,Dining Out,Expense,28.81,Debit Card,Planned
142,2024-02-03,Parking fee,4,Transport,Expense,14.99,Cash,
319,2024-02-03,Taxi ride,4,Transport,Expense,24.75,Bank Transfer,Optional
227,2024-02-04,Freelance project,12,Freelance,Income,826.54,Cash,Recurring
221,2024-02-07,Freelance project,12,Freelance,Income,785.77,Credit Card,
331,2024-02-07,Freelance project,12,Freelance,Income,772.65,Bank Transfer,Recurring
177,2024-02-08,Pizza,5,Dining Out,Expense,30.84,Debit Card,
58,2024-02-11,Dividend income,13,Investment,Income,143.53,Cash,Planned
130,2024-02-13,Cinema tickets,6,Entertainment,Expense,35.77,Bank Transfer,Optional
126,2024-02-14,Concert,6,Entertainment,Expense,62.29,Credit Card,Recurring
132,2024-02-17,Grocery Store,2,Groceries,Expense,58.33,Credit Card,
268,2024-02-17,Stock sale profit,13,Investment,Income,300.25,Cash,
264,2024-02-18,Home goods,8,Shopping,Expense,76.34,Debit Card,
176,2024-02-21,Consulting fee,12,Freelance,Income,570.92,Credit Card,Recurring
140,2024-02-22,Freelance project,12,Freelance,Income,805.93,Bank Transfer,Recurring
278,2024-02-22,Dividend income,13,Investment,Income,146.78,Credit Card,
334,2024-02-24,Stock sale profit,13,Investment,Income,292.25,Cash,
119,2024-02-25,Gym membership,7,Healthcare,Expense,47.63,Debit Card,Optional
72,2024-02-27,Supermarket,2,Groceries,Expense,83.56,Credit Card,Optional
198,2024-02-28,Electronics,8,Shopping,Expense,209.26,Credit Card,
67,2024-02-29,Doctor visit,7,Healthcare,Expense,81.94,Credit Card,
204,2024-02-29,Online course,9,Education,Expense,47.73,Cash,
205,2024-02-29,Freelance project,12,Freelance,Income,778.78,Credit Card,Recurring
9,2024-03-01,Internet subscription,3,Utilities,Expense,55.57,Bank Transfer,
10,2024-03-01,Rent payment,1,Housing,Expense,1518.6,Direct Debit,
11,2024-03-01,Transfer to savings,10,Savings,Transfer,516.47,Credit Card,
12,2024-03-01,Monthly salary,11,Salary,Income,5102.29,Bank Transfer,
243,2024-03-02,Clothing,8,Shopping,Expense,119.97,Bank Transfer,
